FQ;1;2001;1710683;;9000;20200201;20200202
FQ;1;2001;1623631;;9001;20200203;20200216
FQ;1;2001;1759207;;9002;20200201;20200229
FQ;1;2001;1701145;;9001;20200217;20200218
FQ;1;2001;1701145;;9001;20200222;20200222
FQ;1;2001;1701145;;9006;20200220;20200220
FQ;1;2001;1705858;;9000;20200203;20200223
FQ;1;2001;1710776;;9000;20200217;20200229
FQ;1;2001;1637055;;9000;20200210;20200223
FQ;1;2001;1688378;;9000;20200203;20200223
FQ;1;2001;1698392;;9001;20200201;20200201
FQ;1;2001;1698392;;9000;20200203;20200216
FQ;1;2001;1698392;;9006;20200217;20200223
FQ;1;2001;1698392;;9006;20200226;20200227
FQ;1;2001;1691927;;9003;20200210;20200210
FQ;1;2001;1691927;;9010;20200211;20200212
FQ;1;2001;1700198;;9000;20200210;20200223
FQ;1;2001;1726119;;9000;20200201;20200202
FQ;1;2001;1696564;;9001;20200220;20200221
FQ;1;2001;1659825;;9001;20200201;20200206
FQ;1;2001;1659825;;9000;20200217;20200229
FQ;1;2001;1709538;;9000;20200201;20200202
FQ;1;2001;1698415;;9000;20200203;20200216
FQ;1;2001;1742601;;9001;20200201;20200229
FQ;1;2001;1739058;;9000;20200203;20200216
FQ;1;2001;1691929;;9000;20200201;20200202
FQ;1;2001;1691929;;9000;20200228;20200228
FQ;1;2001;1640456;;9006;20200222;20200222
FQ;1;2001;1711366;;9000;20200203;20200208
FQ;1;2001;1711366;;9000;20200210;20200214
FQ;1;2001;1587006;;9000;20200217;20200229
FQ;1;2001;1638621;;9000;20200203;20200223
FQ;1;2001;1732632;;9000;20200203;20200216
FQ;1;2001;1732632;;9001;20200220;20200221
FQ;1;2001;1623482;;9000;20200203;20200216
FQ;1;2001;1762531;;9001;20200207;20200208
FQ;1;2001;1762531;;9001;20200215;20200215
FQ;1;2001;1762531;;9001;20200226;20200227
FQ;1;2001;1688486;;9000;20200201;20200202
FQ;1;2001;1641732;;9000;20200201;20200202
FQ;1;2001;1710110;;9007;20200215;20200215
FQ;1;2001;1710110;;9001;20200217;20200218
FQ;1;2001;1771654;;9001;20200227;20200229
FQ;1;2001;1701141;;9000;20200203;20200216
FQ;1;2001;1696554;;9000;20200203;20200216
FQ;1;2001;1710681;;9000;20200201;20200202
FQ;1;2001;1638618;;9006;20200226;20200226
FQ;1;2001;1681130;;9000;20200201;20200202
FQ;1;2001;1710679;;9000;20200203;20200207
FQ;1;2001;1710679;;9000;20200210;20200214
FQ;1;2001;1710679;;9000;20200217;20200221
FQ;1;2001;1694972;;9000;20200203;20200216
FQ;1;2001;1688483;;9000;20200226;20200229
FQ;1;2001;1691827;;9000;20200203;20200223
FQ;1;2001;1738439;;9000;20200203;20200216
FQ;1;2001;1651964;;9000;20200217;20200229
FQ;1;2001;1696561;;9000;20200210;20200223
FQ;1;2001;1627125;;9000;20200203;20200223
FQ;1;2001;1690381;;9000;20200201;20200201
FQ;1;2001;1690381;;9002;20200227;20200229
FQ;1;2001;1699640;;9000;20200226;20200229
FQ;1;2001;1640448;;9000;20200210;20200223
FQ;1;2001;1738436;;9000;20200217;20200223
FQ;1;2001;1626287;;9000;20200203;20200216
FQ;1;2001;1626287;;9001;20200221;20200223
FQ;1;2001;1626287;;9013;20200228;20200228
FQ;1;2001;1626287;;9006;20200229;20200229
FQ;1;2001;1678510;;9000;20200210;20200223
FQ;1;2001;1779489;;9002;20200201;20200229
FQ;1;2001;1767902;;9001;20200203;20200204
FQ;1;2001;1640457;;9000;20200203;20200223
FQ;1;2001;1759727;;9001;20200217;20200217
FQ;1;2001;1688470;;9000;20200203;20200223
FQ;1;2001;1612401;;9012;20200212;20200213
FQ;1;2001;1628433;;9012;20200211;20200212
FQ;1;2001;1699728;;9000;20200201;20200202
FQ;1;2001;1699728;;9009;20200217;20200217
FQ;1;2001;1709303;;9000;20200210;20200223
FQ;1;2001;1732633;;9000;20200203;20200216
FQ;1;2001;1623477;;9000;20200201;20200202
FQ;1;2001;1657943;;9000;20200203;20200223
FQ;1;2001;1710685;;9000;20200203;20200209
FQ;1;2001;1748390;;9006;20200204;20200204
FQ;1;2001;1748390;;9006;20200228;20200228
FQ;1;2001;1748389;;9001;20200207;20200208
FQ;1;2001;1748389;;9001;20200210;20200210
FQ;1;2001;1748389;;9006;20200211;20200211
