legajo;concepto;fecha;cant
1659825;9000;04/03/2020;1
1659825;9000;05/03/2020;1
1659825;9000;06/03/2020;1
1698415;9000;07/02/2020;1
1698415;9000;08/02/2020;1
1698415;9000;09/02/2020;1
1698415;9000;10/02/2020;1
1698415;9000;11/02/2020;1
1698415;9000;12/02/2020;1
1698415;9000;13/02/2020;1
1698415;9000;14/02/2020;1
1698415;9000;15/02/2020;1
1698415;9000;16/02/2020;1
1742601;9001;07/02/2020;1
1742601;9001;08/02/2020;1
1742601;9001;09/02/2020;1
1742601;9001;10/02/2020;1
1742601;9001;11/02/2020;1
1742601;9001;12/02/2020;1
1742601;9001;13/02/2020;1
1742601;9001;14/02/2020;1
1742601;9001;15/02/2020;1
1742601;9001;16/02/2020;1
1742601;9001;17/02/2020;1
1742601;9001;18/02/2020;1
1742601;9001;19/02/2020;1
1742601;9001;20/02/2020;1
1742601;9001;21/02/2020;1
1742601;9001;22/02/2020;1
1742601;9001;23/02/2020;1
1742601;9001;24/02/2020;1
1742601;9001;25/02/2020;1
1742601;9001;26/02/2020;1
1742601;9001;27/02/2020;1
1742601;9001;28/02/2020;1
1742601;9001;29/02/2020;1
1742601;9001;01/03/2020;1
1742601;9001;02/03/2020;1
1742601;9001;03/03/2020;1
1742601;9001;04/03/2020;1
1742601;9001;05/03/2020;1
1742601;9001;06/03/2020;1
1739058;9000;07/02/2020;1
1739058;9000;08/02/2020;1
1739058;9000;09/02/2020;1
1739058;9000;10/02/2020;1
1739058;9000;11/02/2020;1
1739058;9000;12/02/2020;1
1739058;9000;13/02/2020;1
1739058;9000;14/02/2020;1
1739058;9000;15/02/2020;1
1739058;9000;16/02/2020;1
1691929;9000;28/02/2020;1
1691929;9000;03/03/2020;1
1640456;9006;22/02/2020;1
1711366;9000;07/02/2020;1
1711366;9000;08/02/2020;1
1711366;9000;10/02/2020;1
1711366;9000;11/02/2020;1
1711366;9000;12/02/2020;1
1711366;9000;13/02/2020;1
1711366;9000;14/02/2020;1
1809465;9000;02/03/2020;1
1809465;9000;03/03/2020;1
1809465;9000;04/03/2020;1
1809465;9000;05/03/2020;1
1809465;9000;06/03/2020;1
1587006;9000;17/02/2020;1
1587006;9000;18/02/2020;1
1587006;9000;19/02/2020;1
1587006;9000;20/02/2020;1
1587006;9000;21/02/2020;1
1587006;9000;22/02/2020;1
1587006;9000;23/02/2020;1
1587006;9000;24/02/2020;1
1587006;9000;25/02/2020;1
1587006;9000;26/02/2020;1
1587006;9000;27/02/2020;1
1587006;9000;28/02/2020;1
1587006;9000;29/02/2020;1
1587006;9000;01/03/2020;1
1587006;9000;02/03/2020;1
1587006;9000;03/03/2020;1
1587006;9000;04/03/2020;1
1587006;9000;05/03/2020;1
1587006;9000;06/03/2020;1
1638621;9000;07/02/2020;1
1638621;9000;08/02/2020;1
1638621;9000;09/02/2020;1
1638621;9000;10/02/2020;1
1638621;9000;11/02/2020;1
1638621;9000;12/02/2020;1
1638621;9000;13/02/2020;1
1638621;9000;14/02/2020;1
1638621;9000;15/02/2020;1
1638621;9000;16/02/2020;1
1638621;9000;17/02/2020;1
1638621;9000;18/02/2020;1
1638621;9000;19/02/2020;1
1638621;9000;20/02/2020;1
1638621;9000;21/02/2020;1
1638621;9000;22/02/2020;1
1638621;9000;23/02/2020;1
1732632;9000;07/02/2020;1
1732632;9000;08/02/2020;1
1732632;9000;09/02/2020;1
1732632;9000;10/02/2020;1
1732632;9000;11/02/2020;1
1732632;9000;12/02/2020;1
1732632;9000;13/02/2020;1
1732632;9000;14/02/2020;1
1732632;9000;15/02/2020;1
1732632;9000;16/02/2020;1
1732632;9001;20/02/2020;1
1732632;9001;21/02/2020;1
1732632;9006;03/03/2020;1
1732632;9006;04/03/2020;1
1732632;9006;05/03/2020;1
1732632;9006;06/03/2020;1
1623482;9000;07/02/2020;1
1623482;9000;08/02/2020;1
1623482;9000;09/02/2020;1
1623482;9000;10/02/2020;1
1623482;9000;11/02/2020;1
1623482;9000;12/02/2020;1
1623482;9000;13/02/2020;1
1623482;9000;14/02/2020;1
1623482;9000;15/02/2020;1
1623482;9000;16/02/2020;1
1762531;9001;07/02/2020;1
1762531;9001;08/02/2020;1
1762531;9001;15/02/2020;1
1762531;9001;26/02/2020;1
1762531;9001;27/02/2020;1
1762531;9001;05/03/2020;1
1762531;9001;06/03/2020;1
1710110;9007;15/02/2020;1
1710110;9001;17/02/2020;1
1710110;9001;18/02/2020;1
1771654;9001;27/02/2020;1
1771654;9001;28/02/2020;1
1771654;9001;29/02/2020;1
1771654;9001;01/03/2020;1
1771654;9001;02/03/2020;1
1771654;9001;03/03/2020;1
1771654;9001;04/03/2020;1
1771654;9001;05/03/2020;1
1771654;9001;06/03/2020;1
1817658;9000;02/03/2020;1
1817658;9000;03/03/2020;1
1817658;9000;04/03/2020;1
1817658;9000;05/03/2020;1
1817658;9000;06/03/2020;1
1701141;9000;07/02/2020;1
1701141;9000;08/02/2020;1
1701141;9000;09/02/2020;1
1701141;9000;10/02/2020;1
1701141;9000;11/02/2020;1
1701141;9000;12/02/2020;1
1701141;9000;13/02/2020;1
1701141;9000;14/02/2020;1
1701141;9000;15/02/2020;1
1701141;9000;16/02/2020;1
1696554;9000;07/02/2020;1
1696554;9000;08/02/2020;1
1696554;9000;09/02/2020;1
